Place Name,State,District,City,img_source,Link,dominant_topic,probability
Galgibaga Beach,Goa,South Goa District,Agonda,https://media-cdn.tripadvisor.com/media/photo-s/05/67/2b/3a/galjibag-beach-babash.jpg,https://www.tripadvisor.in/Attraction_Review-g816969-d4138937-Reviews-Galgibaga_Beach-Agonda_South_Goa_District_Goa.html,Beach/Seashores,0.83
Agra Fort,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/09/01/08/32/agra-fort.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d319695-Reviews-Agra_Fort-Agra_Agra_District_Uttar_Pradesh.html,Palace/Forts/Ancient Buildings,0.57
Tomb of Itimad-ud-Daulah,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/16/1b/13/cf/20190114-120443-largejpg.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d321262-Reviews-Tomb_of_Itimad_ud_Daulah-Agra_Agra_District_Uttar_Pradesh.html,Palace/Forts/Ancient Buildings,0.34
Sheesh Mahal,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/07/cb/29/bb/sheesh-mahal.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d4421871-Reviews-Sheesh_Mahal-Agra_Agra_District_Uttar_Pradesh.html,Palace/Forts/Ancient Buildings,0.67
Imperial Wax Museum,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/1a/aa/9b/63/home-page.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d19411993-Reviews-Imperial_Wax_Museum-Agra_Agra_District_Uttar_Pradesh.html,Gardens/City Parks,0.6
Taj Gallery,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/0e/02/88/48/getlstd-property-photo.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d11965350-Reviews-Taj_Gallery-Agra_Agra_District_Uttar_Pradesh.html,Museums/Indian Culture & History,0.91
Wildlife SOS,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/04/c8/87/e4/wildlife-sos.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d2048779-Reviews-Wildlife_SOS-Agra_Agra_District_Uttar_Pradesh.html,Wildlife/Forests/National Parks,0.87
Taj Mahal,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/08/9a/30/d6/agra.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d317329-Reviews-Taj_Mahal-Agra_Agra_District_Uttar_Pradesh.html,Palace/Forts/Ancient Buildings,0.51
Mother Teresa's Missionaries of Charity,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/01/5a/e2/ad/sister-glory-in-the-nursery.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d1595132-Reviews-Mother_Teresa_s_Missionaries_of_Charity-Agra_Agra_District_Uttar_Pradesh.html,Wildlife/Forests/National Parks,0.55
Shah Burj,Uttar Pradesh,Agra District,Agra,https://media-cdn.tripadvisor.com/media/photo-s/0c/3f/ba/de/menara-oktagonal.jpg,https://www.tripadvisor.in/Attraction_Review-g297683-d3705663-Reviews-Shah_Burj-Agra_Agra_District_Uttar_Pradesh.html,Palace/Forts/Ancient Buildings,0.6
